"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 17:29:42 GMT 2024","Wed Jul 17 17:29:44 GMT 2024","1721","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Wed Jul 17 17:29:46 GMT 2024","Wed Jul 17 17:29:47 GMT 2024","1070","test","test_hootel","TestHootel","","","test_hotel_list",""
